Underlying,Action,Quantity,Price,Time,Date,Exch.,Account,Order Ref.,Clearing,
1810,BOT,1000,30.00,01:58:31,20201223,SEHK,PMP Berlin Quant Group,,,
520,BOT,500,18.64,02:01:19,20201223,SEHK,PMP Berlin Quant Group,,,
520,BOT,500,18.64,02:01:19,20201223,SEHK,PMP Berlin Quant Group,,,
DPW,BOT,450,40.10,09:20:30,20201222,GETTEX,PMP Berlin Quant Group,,,
SAP,BOT,200,103.56,09:21:07,20201222,TGATE,PMP Berlin Quant Group,,,
AI,BOT,80,133.50,09:21:33,20201222,SMART,PMP Berlin Quant Group,,,
TSLA,BOT,25,653.99,11:04:26,20201222,ARCA,PMP Berlin Quant Group,,,
EXPE,SLD,78,122.93,14:04:34,20201222,ISLAND,PMP Berlin Quant Group,,,
BKNG,SLD,5,2072.20,14:06:43,20201222,DRCTEDGE,PMP Berlin Quant Group,,,
AI,BOT,50,172.24,14:32:15,20201222,NYSE,PMP Berlin Quant Group,,,
AI,BOT,10,172.24,14:32:15,20201222,NYSE,PMP Berlin Quant Group,,,
SNOW,SLD,120,346.05,14:33:15,20201222,IBKRATS,PMP Berlin Quant Group,,,
LGVW,BOT,24,17.45,14:34:16,20201222,ARCA,PMP Berlin Quant Group,,,
LGVW,BOT,100,17.45,14:34:16,20201222,ARCA,PMP Berlin Quant Group,,,
LGVW,BOT,100,17.45,14:34:16,20201222,ARCA,PMP Berlin Quant Group,,,
LGVW,BOT,300,17.45,14:34:16,20201222,ARCA,PMP Berlin Quant Group,,,
LGVW,BOT,76,17.46,14:34:18,20201222,ISLAND,PMP Berlin Quant Group,,,
NIU,SLD,122,30.31,15:11:21,20201222,ISLAND,PMP Berlin Quant Group,,,
NIU,SLD,378,30.31,15:11:21,20201222,ISLAND,PMP Berlin Quant Group,,,
AI,BOT,60,176.16,15:40:53,20201222,IBKRATS,PMP Berlin Quant Group,,,
LGVW,BOT,500,17.96,15:42:25,20201222,IBKRATS,PMP Berlin Quant Group,,,
VLDR,BOT,600,30.44,15:48:11,20201222,ISLAND,PMP Berlin Quant Group,,,
PDD,SLD,120,141.99,16:09:27,20201222,ISLAND,PMP Berlin Quant Group,,,
VLDR,SLD,100,27.405,16:32:21,20201222,DARK,PMP Berlin Quant Group,,,
VLDR,SLD,100,27.40,16:32:21,20201222,EDGEA,PMP Berlin Quant Group,,,
VLDR,SLD,100,27.40,16:32:21,20201222,DARK,PMP Berlin Quant Group,,,
VLDR,SLD,100,27.40,16:32:21,20201222,IEX,PMP Berlin Quant Group,,,
VLDR,SLD,200,27.40,16:32:21,20201222,CHX,PMP Berlin Quant Group,,,
LGVW,SLD,100,16.70,16:36:30,20201222,DARK,PMP Berlin Quant Group,,,
LGVW,SLD,300,16.70,16:36:30,20201222,NYSE,PMP Berlin Quant Group,,,
LGVW,SLD,100,16.7001,16:36:30,20201222,DARK,PMP Berlin Quant Group,,,
LGVW,SLD,300,16.7002,16:36:30,20201222,DARK,PMP Berlin Quant Group,,,
LGVW,SLD,300,16.70,16:36:30,20201222,IBKRATS,PMP Berlin Quant Group,,,
AI,SLD,111,163.69,16:37:20,20201222,DRCTEDGE,PMP Berlin Quant Group,,,
AI,SLD,9,163.69,16:37:20,20201222,DRCTEDGE,PMP Berlin Quant Group,,,
BTWN,BOT,300,14.00,20:34:24,20201222,IBKRATS,PMP Berlin Quant Group,,,
BTWN,BOT,100,14.00,20:34:24,20201222,EDGEA,PMP Berlin Quant Group,,,
PTON,BOT,13,160.90,20:35:51,20201222,IBKRATS,PMP Berlin Quant Group,,,
ABNB,BOT,13,164.76,20:36:16,20201222,IBKRATS,PMP Berlin Quant Group,,,
AYX,BOT,20,131.70,20:37:08,20201222,IBKRATS,PMP Berlin Quant Group,,,
SAP,SLD,200,102.20,08:45:43,20201221,TGATE,PMP Berlin Quant Group,,,
AI,SLD,80,133.45,08:46:30,20201221,GETTEX,PMP Berlin Quant Group,,,
DPW,SLD,400,40.16,08:46:59,20201221,SMART,PMP Berlin Quant Group,,,
GYC,SLD,1020,20.42,08:47:25,20201221,SMART,PMP Berlin Quant Group,,,
GLD,SLD,285,177.77,09:00:00,20201221,ARCA,PMP Berlin Quant Group,,,
JETS,BOT,100,20.67,10:25:55,20201221,ARCA,PMP Berlin Quant Group,,,
JETS,BOT,105,20.67,10:25:55,20201221,ARCA,PMP Berlin Quant Group,,,
JETS,BOT,415,20.67,10:26:30,20201221,ARCA,PMP Berlin Quant Group,,,
JETS,BOT,388,20.67,10:32:27,20201221,ARCA,PMP Berlin Quant Group,,,
JETS,BOT,10,20.67,10:35:02,20201221,ARCA,PMP Berlin Quant Group,,,
JETS,BOT,100,20.67,10:35:30,20201221,ARCA,PMP Berlin Quant Group,,,
JETS,BOT,4,20.67,10:37:13,20201221,ARCA,PMP Berlin Quant Group,,,
JETS,BOT,198,20.67,10:37:17,20201221,ARCA,PMP Berlin Quant Group,,,
U,SLD,40,158.55,00:39:31,20201219,ISLAND,PMP Berlin Quant Group,,,
520,BOT,3500,19.10,01:42:26,20201218,SEHK,PMP Berlin Quant Group,,,
1810,BOT,800,28.95,01:44:38,20201218,SEHK,PMP Berlin Quant Group,,,
1810,BOT,1600,28.95,01:44:39,20201218,SEHK,PMP Berlin Quant Group,,,
AI,BOT,50,135.45,11:34:57,20201218,SMART,PMP Berlin Quant Group,,,
WYNN,SLD,100,113.89,14:40:51,20201218,ISLAND,PMP Berlin Quant Group,,,
WYNN,SLD,50,113.89,14:40:51,20201218,ISLAND,PMP Berlin Quant Group,,,
THCA,BOT,380,10.69,14:57:55,20201218,ISLAND,PMP Berlin Quant Group,,,
THCA,BOT,28,10.69,14:57:55,20201218,ISLAND,PMP Berlin Quant Group,,,
THCA,BOT,92,10.69,14:57:59,20201218,ISLAND,PMP Berlin Quant Group,,,
THCA,BOT,112,10.69,15:01:41,20201218,ISLAND,PMP Berlin Quant Group,,,
THCA,BOT,388,10.69,15:01:49,20201218,ISLAND,PMP Berlin Quant Group,,,
THCA,BOT,100,10.66,15:01:49,20201218,ISLAND,PMP Berlin Quant Group,,,
THCA,BOT,100,10.66,15:07:28,20201218,ISLAND,PMP Berlin Quant Group,,,
THCA,BOT,100,10.66,15:26:57,20201218,ISLAND,PMP Berlin Quant Group,,,
THCA,BOT,100,10.66,16:22:13,20201218,ISLAND,PMP Berlin Quant Group,,,
THCA,BOT,100,10.66,16:27:57,20201218,ISLAND,PMP Berlin Quant Group,,,
EIDO,BOT,500,23.91,15:35:10,20201218,IBKRATS,PMP Berlin Quant Group,,,
U,SLD,9,153.00,15:44:28,20201218,NYSE,PMP Berlin Quant Group,,,
U,SLD,51,153.00,15:44:28,20201218,NYSE,PMP Berlin Quant Group,,,
UAL,SLD,100,45.6027,15:52:35,20201218,DARK,PMP Berlin Quant Group,,,
UAL,SLD,200,45.6027,15:52:35,20201218,DARK,PMP Berlin Quant Group,,,
UAL,SLD,120,45.60,15:52:35,20201218,DARK,PMP Berlin Quant Group,,,
ATVI,BOT,100,88.83,16:41:39,20201218,IBKRATS,PMP Berlin Quant Group,,,
ATVI,BOT,100,88.83,16:41:39,20201218,EDGEA,PMP Berlin Quant Group,,,
ATVI,BOT,30,88.83,16:41:39,20201218,EDGEA,PMP Berlin Quant Group,,,
EA,BOT,100,142.20,16:42:36,20201218,IBKRATS,PMP Berlin Quant Group,,,
EA,BOT,50,142.20,16:42:36,20201218,IEX,PMP Berlin Quant Group,,,
XPEV,SLD,350,45.99,21:01:34,20201218,ISLAND,PMP Berlin Quant Group,,,
MES,SLD,2,3700.00,07:40:32,20201217,GLOBEX,PMP Berlin Quant Group,,,
MES,SLD,3,3700.00,07:40:32,20201217,GLOBEX,PMP Berlin Quant Group,,,
1810,SLD,2400,29.30,08:09:05,20201217,SEHK,PMP Berlin Quant Group,,,
1810,SLD,2400,29.30,08:09:05,20201217,SEHK,PMP Berlin Quant Group,,,
AI,BOT,110,135.65,11:34:47,20201217,SMART,PMP Berlin Quant Group,,,
WCH,SLD,50,116.50,14:52:23,20201217,SMART,PMP Berlin Quant Group,,,
WCH,SLD,100,116.50,14:52:23,20201217,SMART,PMP Berlin Quant Group,,,
IPOB,SLD,76,26.29,16:48:45,20201217,IBKRATS,PMP Berlin Quant Group,,,
PSTG,SLD,89,22.23,16:53:08,20201217,IBKRATS,PMP Berlin Quant Group,,,
PTON,SLD,14,135.99,16:53:52,20201217,IBKRATS,PMP Berlin Quant Group,,,
NFLX,BOT,18,531.65,18:28:08,20201217,IBKRATS,PMP Berlin Quant Group,,,
AYX,BOT,80,128.03,18:42:25,20201217,IBKRATS,PMP Berlin Quant Group,,,
MES,BOT,3,3720.50,19:03:46,20201217,GLOBEX,PMP Berlin Quant Group,,,
XOM,SLD,300,43.70,19:04:28,20201217,IBKRATS,PMP Berlin Quant Group,,,
XOM,SLD,100,43.705,19:04:28,20201217,DARK,PMP Berlin Quant Group,,,
XOM,SLD,100,43.70,19:04:28,20201217,EDGEA,PMP Berlin Quant Group,,,
MSFT,SLD,100,219.16,19:07:38,20201217,IBKRATS,PMP Berlin Quant Group,,,
MSFT,SLD,10,219.16,19:07:38,20201217,EDGEA,PMP Berlin Quant Group,,,
MSFT,SLD,10,219.16,19:07:38,20201217,EDGEA,PMP Berlin Quant Group,,,
AMZN,BOT,1,3241.59,19:07:51,20201217,ISLAND,PMP Berlin Quant Group,,,
AMZN,BOT,5,3241.65,19:07:51,20201217,ISLAND,PMP Berlin Quant Group,,,
AMZN,BOT,1,3241.66,19:07:51,20201217,ISLAND,PMP Berlin Quant Group,,,
AMZN,BOT,1,3241.66,19:07:51,20201217,ISLAND,PMP Berlin Quant Group,,,
RDS A,SLD,500,38.22,19:31:46,20201217,NYSE,PMP Berlin Quant Group,,,
IPOB,SLD,210,28.62,21:26:03,20201217,ARCA,PMP Berlin Quant Group,,,
